dataset,file_count,max_bad_channels,mean_bad_channels
ds002680-1.2.0,27,2,1.07
ds002721-1.0.3,12,2,1.75
ds003478-1.1.0,103,40,15.55   Y
ds003555-1.0.1,2,1,1.00
ds003775-1.2.1,5,2,1.20
ds004148-1.0.1,25,7,1.68
ds004357,7,6,2.43
ds004796-1.0.9,45,52,2.82  Y
ds005505-1.0.0,1143,128,4.20  Y
ds005506-1.0.0,1245,128,4.03  Y
ds005507-1.0.0,1442,128,8.17  Y
ds005508-1.0.0,2455,128,7.72  Y
ds005509-1.0.0,2623,128,9.52  Y
ds005510-1.0.0,1034,128,15.83  Y
ds005511-1.0.0,2387,128,14.79  Y
ds005512-1.0.0,2061,128,13.77  Y
ds005620-1.0.0,45,49,4.00  Y
ds005697-1.0.2,12,54,30.83  Y
tug_eeg,4670,22,2.06
